spectral_type,t_eff,lum_lsun
O5,42000,499000
O6,39500,324000
O7,37500,216000
O8,35800,147000
B0,30000,32500
B1,25400,9950
B2,20900,2920
B3,18800,1580
B5,15200,480
B6,13700,272
B7,12500,160
B8,11400,96.7
B9,10500,60.7
A0,9800,39.4
A1,9400,30.3
A2,9020,23.6
A5,8190,12.3
A8,7600,7.13
F0,7300,5.21
F2,7050,3.89
F5,6650,2.56
F8,6250,1.68
G0,5940,1.25
G2,5790,1.07
G8,5310,0.656
K0,5150,0.552
K1,4990,0.461
K3,4690,0.318
K4,4540,0.263
K5,4410,0.216
K7,4150,0.145
M0,3840,0.077
M1,3660,0.05
M2,3520,0.032
M3,3400,0.02
M4,3290,0.013
M5,3170,0.0076
M6,3030,0.0044
M7,2860,0.0025
