spectral_type,t_eff,lum_lsun
O5,40900,1140000
O6,38500,998000
O7,36200,877000
O8,34000,769000
B0,26200,429000
B1,21400,261000
B2,17600,157000
B3,16000,123000
B5,13600,79100
B6,12600,65200
B7,11800,54800
B8,11100,47200
B9,10500,41600
A0,9980,37500
A1,9660,35400
A2,9380,33700
A5,8610,30500
A8,7910,29100
F0,7460,28800
F2,7030,28700
F5,6370,29100
F8,5750,29700
G0,5370,30300
G2,5190,30800
G8,4700,32400
K0,4550,33100
K1,4430,34000
K3,4190,36100
K4,4090,37500
K5,3990,39200
K7,3830,43200
M0,3620,51900
M1,3490,60300
M2,3370,72100
M3,3210,89500
M4,3060,117000
M5,2880,165000
M6,2710,264000
